route_id,service_id,trip_id
S0060,weekday,weekday_S0060_S006002_4
S0060,weekend,weekend_S0060_S006002_0
S0060,weekend,weekend_S0060_S006002_1
S0060,weekend,weekend_S0060_S006002_2
S0060,weekend,weekend_S0060_S006002_3
S0060,weekend,weekend_S0060_S006002_4
S3020,weekday,weekday_S3020_S302002_0
S3020,weekday,weekday_S3020_S302002_1
S3020,weekday,weekday_S3020_S302002_2
S3020,weekday,weekday_S3020_S302002_3
S3020,weekday,weekday_S3020_S302002_4
S3020,weekday,weekday_S3020_S302002_5
S3020,weekday,weekday_S3020_S302002_6
S3020,weekday,weekday_S3020_S302002_7
S3020,weekday,weekday_S3020_S302002_8
S3020,weekday,weekday_S3020_S302002_9
S3020,weekday,weekday_S3020_S302002_10
S3020,weekend,weekend_S3020_S302002_0
S3020,weekend,weekend_S3020_S302002_1
S3020,weekend,weekend_S3020_S302002_2
S3020,weekend,weekend_S3020_S302002_3
S3020,weekend,weekend_S3020_S302002_4
S3020,weekend,weekend_S3020_S302002_5
S3020,weekend,weekend_S3020_S302002_6
S3020,weekend,weekend_S3020_S302002_7
S3020,weekend,weekend_S3020_S302002_8
S3020,weekend,weekend_S3020_S302002_9
S3020,weekend,weekend_S3020_S302002_10
S3030,weekday,weekday_S3030_S303002_0
S3030,weekday,weekday_S3030_S303002_1
S3030,weekday,weekday_S3030_S303002_2
S3030,weekday,weekday_S3030_S303002_3
S3030,weekday,weekday_S3030_S303002_4
S3030,weekday,weekday_S3030_S303002_5
S3030,weekday,weekday_S3030_S303002_6
S3030,weekday,weekday_S3030_S303002_7
S3030,weekday,weekday_S3030_S303002_8
S3030,weekday,weekday_S3030_S303002_9
S3030,weekday,weekday_S3030_S303002_10
S3030,weekend,weekend_S3030_S303002_0
S3030,weekend,weekend_S3030_S303002_1
S3030,weekend,weekend_S3030_S303002_2
S3030,weekend,weekend_S3030_S303002_3
S3030,weekend,weekend_S3030_S303002_4
S3030,weekend,weekend_S3030_S303002_5
S3030,weekend,weekend_S3030_S303002_6
S3030,weekend,weekend_S3030_S303002_7
S3030,weekend,weekend_S3030_S303002_8
S3030,weekend,weekend_S3030_S303002_9
S3030,weekend,weekend_S3030_S303002_10
S3040,weekday,weekday_S3040_S304002_1
R0200,weekday,weekday_R0200_R020002_0
R0200,weekday,weekday_R0200_R020002_1
R0200,weekday,weekday_R0200_R020002_2
P0020,weekday,weekday_P0020_P002002_0
P0020,weekday,weekday_P0020_P002002_1
P0020,weekday,weekday_P0020_P002002_2
P0020,weekend,weekend_P0020_P002002_0
P0020,weekend,weekend_P0020_P002002_1
P0020,weekend,weekend_P0020_P002002_2
P0030,weekday,weekday_P0030_P003002_0
P0030,weekday,weekday_P0030_P003002_1
P0030,weekday,weekday_P0030_P003002_2
P0030,weekend,weekend_P0030_P003002_0
P0030,weekend,weekend_P0030_P003002_1
P0030,weekend,weekend_P0030_P003002_2
P0030,weekend,weekend_P0030_P003002_3
P0040,weekday,weekday_P0040_P004002_0
P0040,weekday,weekday_P0040_P004002_1
P0050,weekday,weekday_P0050_P005002_0
P0050,weekday,weekday_P0050_P005002_1
P0050,weekday,weekday_P0050_P005002_2
P0050,weekend,weekend_P0050_P005002_0
P0050,weekend,weekend_P0050_P005002_1
P0050,weekend,weekend_P0050_P005002_2
P0050,weekend,weekend_P0050_P005002_3
P0060,weekday,weekday_P0060_P006002_0
P0060,weekday,weekday_P0060_P006002_1
P0060,weekday,weekday_P0060_P006002_2
P0060,weekday,weekday_P0060_P006002_3
P0060,weekend,weekend_P0060_P006002_0
P0060,weekend,weekend_P0060_P006002_1
P0060,weekend,weekend_P0060_P006002_2
P0060,weekend,weekend_P0060_P006002_3
S4060,weekday,weekday_S4060_S406002_0
